#id	month	title
1701991	2015-02	IM
1407589	2015-02	FM
1401815	2015-02	GM
1500503	2015-02	FM
5000092	2015-02	IM
4801628	2015-02	CM
3400123	2015-02	FM
3409414	2015-02	WFM
4128184	2015-02	IM
13402960	2015-02	GM
802778	2015-02	FM
4804937	2015-02	CM
2008645	2015-02	FM
12543675	2015-02	WFM
12501000	2015-02	GM
13414232	2015-02	FM
13400665	2015-02	GM
5500222	2015-02	CM
7900139	2015-02	WFM
2111080	2015-02	FM
9300643	2015-02	FM
10601104	2015-02	IM
10610529	2015-02	WFM
10600035	2015-02	IM
7900880	2015-02	WIM
14402394	2015-02	FM
14000695	2015-02	WFM
4800613	2015-02	CM
16700066	2015-02	CM
4800052	2015-02	CM
9300210	2015-02	FM
9302484	2015-02	WFM
9302492	2015-02	WFM
5300401	2015-02	CM
4800176	2015-02	FM
10200444	2015-02	GM
13401807	2015-02	WIM
9300031	2015-02	IM
13402714	2015-02	IM
9400877	2015-02	WCM
4801849	2015-02	FM
4174860	2015-02	FM
13703544	2015-02	WGM
14204118	2015-02	FM
14204126	2015-02	WFM
13800337	2015-02	IM
24605417	2015-02	IM
701424	2015-02	IM
4170466	2015-02	FM
4170474	2015-02	FM
1003640	2015-02	FM
614890	2015-02	GM
1202278	2015-02	FM
13701711	2015-02	IM
202606	2015-02	IM
10600078	2015-02	IM
13301918	2015-02	WGM
4174089	2015-02	FM
4144970	2015-02	IM
4142713	2015-02	FM
4154070	2015-02	FM
4179196	2015-02	FM
24142034	2015-02	WFM
900206	2015-02	GM
14800063	2015-02	CM
4120582	2015-02	IM
600440	2015-02	FM
3502589	2015-02	GM
6405525	2015-02	FM
6400035	2015-02	IM
4166892	2015-02	FM
10200916	2015-02	IM
4162757	2015-02	FM
24174440	2015-02	WFM
24111210	2015-02	WFM
2200937	2015-02	FM
2200546	2015-02	FM
5100844	2015-02	WCM
6504442	2015-02	WCM
5100143	2015-02	FM
5001412	2015-02	FM
4605918	2015-02	FM
4406214	2015-02	CM
3906337	2015-02	CM
4400089	2015-02	IM
124311	2015-02	IM
708020	2015-02	GM
727709	2015-02	IM
406252	2015-02	IM
12200620	2015-02	CM
2603896	2015-02	IM
315702	2015-02	FM
1134043	2015-02	WFM
401137	2015-02	FM
400041	2015-02	GM
14311372	2015-02	CM
1101439	2015-02	IM
1100190	2015-02	IM
2009730	2015-02	FM
2292726	2015-02	FM
3514781	2015-02	FM
3508269	2015-02	WFM
8500282	2015-02	FM
2207885	2015-02	FM
10616764	2015-02	WFM
8500193	2015-02	FM
2003597	2015-02	FM
10100130	2015-02	IM
8501238	2015-02	CM
5018471	2015-02	GM
8201200	2015-02	WCM
7100019	2015-02	GM
4800079	2015-02	FM
35042025	2015-02	CM
100072	2015-02	IM
1300563	2015-02	FM
4103580	2015-02	IM
10601619	2015-02	GM
1019716	2015-02	FM
4800303	2015-02	CM
1502433	2015-02	FM
1201905	2015-02	WFM
700096	2015-02	GM
7910606	2015-02	FM
601071	2015-02	IM
11400234	2015-02	CM
8500258	2015-02	IM
6000240	2015-02	FM
723886	2015-02	FM
4628306	2015-02	FM
34145670	2015-02	FM
24183555	2015-02	FM
4128257	2015-02	FM
4140850	2015-02	WFM
2800462	2015-02	IM
10600019	2015-02	IM
10100334	2015-02	WCM
4157770	2015-02	FM
12501263	2015-02	FM
733466	2015-02	FM
13900129	2015-02	WGM
1127586	2015-02	CM
13902199	2015-02	FM
4154258	2015-02	FM
13401718	2015-02	GM
16400216	2015-02	FM
1500201	2015-02	FM
1500015	2015-02	GM
4105222	2015-02	IM
4213220	2015-02	FM
13302540	2015-02	WIM
13400215	2015-02	GM
13302841	2015-02	GM
13402854	2015-02	IM
13402374	2015-02	WFM
818070	2015-02	FM
13402048	2015-02	IM
13300628	2015-02	WGM
10100180	2015-02	IM
501840	2015-02	IM
10100571	2015-02	CM
5001048	2015-02	WFM
1705024	2015-02	GM
1708830	2015-02	WIM
1705032	2015-02	WIM
4400062	2015-02	FM
2204169	2015-02	FM
3508455	2015-02	IM
617636	2015-02	IM
10100911	2015-02	FM
101044	2015-02	FM
5115558	2015-02	WCM
3800091	2015-02	FM
3303187	2015-02	CM
3512991	2015-02	FM
14307294	2015-02	WCM
8500010	2015-02	FM
2300230	2015-02	FM
2800683	2015-02	FM
1700251	2015-02	IM
4800443	2015-02	FM
